,Row,DynRange,DynIQR,DynStDev,TempRange,TempIQR,TempStDev,DynPolyCoeff1,DynPolyCoeff2,DynPolyCoeff3,TempPolyCoeff1,TempPolyCoeff2,TempPolyCoeff3
0,Grumiaux Gavotte bar: 1,18.480124025344367,4.8168834711352435,7.406066095266468,10.133432181093013,3.573425632254231,3.704058049314895,-0.010457590806203737,0.09610110027788252,-17.177232421235992,-0.7476821511491073,4.5606112303702275,70.63325420032156
1,Grumiaux Gavotte bar: 2,12.983418962347628,3.666362326522382,6.053019436344243,16.355937958993493,6.305531920174838,10.024337317430579,0.008220301036156206,-0.5415440728254766,-15.407414384522411,-2.2075974245564978,15.21160895299056,57.27273701752043
2,Grumiaux Gavotte bar: 3,12.191836282185307,2.8982392946873157,5.32851876481152,20.776576556678535,7.0349242452458425,10.307542132765889,-0.002850869082781007,0.0016461914176953932,-21.907221804170824,-0.2556911230350639,4.470048462660945,67.29187141666415
3,Grumiaux Gavotte bar: 4,14.077888023710727,3.4957184103739385,4.558188347087537,17.087451366228393,5.716487673865945,5.160333317944591,0.0003469459421741695,0.2620124400183267,-25.336977405048266,-0.5446383210037803,4.005612664100601,81.31717438024307
4,Grumiaux Gavotte bar: 5,9.062595521780167,2.128847616683245,2.893933378086558,13.639127800672284,5.846505797089636,11.074040320030917,0.0010637213405522829,-0.018672502966178305,-18.714903968370987,-0.8271291614616294,7.63577911085871,67.82345601390445
5,Grumiaux Gavotte bar: 6,17.45452738019611,5.1647072631913415,8.70493051124295,3.190630503048723,1.4697353053837827,2.0234932757761754,0.012512120052458291,-0.7062056900787064,-13.381115110857257,0.5835686136362815,-1.906096430293326,72.30044579772968
6,Grumiaux Gavotte bar: 7,18.46944013889032,4.544286537453996,5.422079904185466,5.358992292896886,2.3052033520941664,4.018537506858237,-0.003856836027351081,-0.059143304610686585,-20.267139838485576,0.2946765244735076,-3.139369167012035,77.20735485551249
7,Grumiaux Gavotte bar: 8,29.596596345453406,6.758593065064241,7.74585531623093,8.221898583344228,3.5502418422514195,5.4812657222294945,0.018148554657200153,-0.5260948693132241,-24.40303729583267,0.2536281817485768,1.472491952371852,67.5046490966488
8,Grumiaux Gavotte bar: 9,19.82814572744394,4.717688677525522,5.202800445481159,11.252359046743763,4.2026658697710175,4.515302771575051,-0.006040914808028335,-0.05500661133455729,-16.426814939253337,-0.9454746764912185,4.89813854009716,72.80803018767543
9,Grumiaux Gavotte bar: 10,14.850173499242487,3.9609254454216605,5.827739397541521,17.799171333543867,6.218599161332572,6.742052212294681,0.015289589905936136,-0.8332937573547605,-13.24524412658172,-1.3756114536452175,12.041584462033535,57.15679726183427
10,Grumiaux Gavotte bar: 11,11.129094286184454,2.9648179846730587,4.625143949905379,16.942129505103566,4.7173371117949685,5.9891503804885105,-0.006505541754604696,0.1758794195101746,-22.591475597311483,-0.2999172280341185,3.818232843044071,69.81735136179259
11,Grumiaux Gavotte bar: 12,15.21841310291859,3.9675358846073157,4.984854310136257,19.918370681268428,6.521993717159611,9.5471899431448,0.004771439175963254,0.09918317045197626,-25.377327162824688,-0.9927915943253109,9.318975160351759,65.72556276076199
12,Grumiaux Gavotte bar: 13,13.627526826285987,3.252535946016075,3.9594305673402914,18.98646822902394,6.786522679805849,8.383496937920512,-0.0017430300345336572,0.10273089759859785,-19.967377823633374,-0.8730027482675421,8.19120093269645,65.8907182191013
13,Grumiaux Gavotte bar: 14,17.72495297811406,4.641234116189266,7.761266674385354,3.887154883737935,1.6974917273660368,2.060961058682949,0.009010460189695632,-0.4954342890384828,-14.692884512510673,-0.9130969125274934,5.595965091978938,63.65426166109525
14,Grumiaux Gavotte bar: 15,17.34752184993613,4.790515556105198,5.174266469384321,6.442577030812188,2.6378272463406107,3.8165266106442886,0.002040634846577606,-0.2716463392000125,-20.469909322580698,-0.6632440210126888,2.5336091883564347,69.79378985636757
15,Grumiaux Gavotte bar: 16,25.421489377709122,6.406004559406621,8.534156642801477,16.544117647058997,7.325440549645171,11.029411764705998,0.012581386497537905,-0.40166767058417496,-26.117851065196486,1.4938484607602782,-1.9545364214483936,66.63715854892345
16,Grumiaux Gavotte bar: 17,8.240154185139659,2.685135568974241,4.986573003363475,7.173186824315039,2.0384521141393064,1.4667382439702834,-0.0017650415013957031,-0.037989018671493034,-15.57426086077475,0.26407156377875757,-2.611915635109734,84.54542278433976
17,Grumiaux Gavotte bar: 18,14.205976874732244,4.040827126944367,7.435468606174169,10.762373653290894,3.326914814222321,3.1549403162320573,0.01599874593158724,-0.8069457394126933,-12.99886670763988,-0.4167570377136807,2.907410503297012,74.48189340975811
18,Grumiaux Gavotte bar: 19,14.9965904552231,4.258003006065508,7.388709069777917,16.054744558130196,5.639861639956199,5.751212946807996,0.021026361653974212,-0.8363115894068578,-14.741245526028974,-0.7058542084698468,6.921857272679319,68.47417573435054
19,Grumiaux Gavotte bar: 20,8.10760860408891,2.0046785167639243,2.6110267394160758,15.487026026420935,5.730519467608782,10.499588824575795,0.0037834182253581377,-0.10899350011093543,-17.6939102129322,-0.862878876044908,9.084875197154977,61.5905379127075
20,Grumiaux Gavotte bar: 21,7.869963213589358,2.3143691120309544,2.894866292465011,14.013168976522081,4.555095683277348,5.374151517783261,0.018153795900514053,-0.5993288015396078,-13.187042446272613,-0.5945956198232478,6.2483913812792915,70.40540574122464
